2016-08-03 15:23:20 configure dpkg 1.17.5ubuntu5 1.17.5ubuntu5
2016-08-03 15:23:20 status unpacked dpkg 1.17.5ubuntu5
2016-08-03 15:23:20 status unpacked dpkg 1.17.5ubuntu5
2016-08-03 15:23:20 status unpacked dpkg 1.17.5ubuntu5
2016-08-03 15:23:20 status unpacked dpkg 1.17.5ubuntu5
2016-08-03 15:23:20 status unpacked dpkg 1.17.5ubuntu5
2016-08-03 15:23:20 status half-configured dpkg 1.17.5ubuntu5
2016-08-03 15:23:21 status installed dpkg 1.17.5ubuntu5
2016-08-03 15:23:21 startup archives install
2016-08-03 15:23:21 install libc6:armhf <none> 2.19-0ubuntu6
2016-08-03 15:23:21 status half-installed libc6:armhf 2.19-0ubuntu6
2016-08-03 15:23:21 status unpacked libc6:armhf 2.19-0ubuntu6
2016-08-03 15:23:21 status unpacked libc6:armhf 2.19-0ubuntu6
2016-08-03 15:23:21 configure libc6:armhf 2.19-0ubuntu6 2.19-0ubuntu6
2016-08-03 15:23:21 status unpacked libc6:armhf 2.19-0ubuntu6
2016-08-03 15:23:21 status unpacked libc6:armhf 2.19-0ubuntu6
2016-08-03 15:23:21 status half-configured libc6:armhf 2.19-0ubuntu6
2016-08-03 15:23:22 status installed libc6:armhf 2.19-0ubuntu6
2016-08-03 15:23:22 startup archives install
2016-08-03 15:23:22 install perl-base:armhf <none> 5.18.2-2ubuntu1
2016-08-03 15:23:22 status half-installed perl-base:armhf 5.18.2-2ubuntu1
2016-08-03 15:23:23 status unpacked perl-base:armhf 5.18.2-2ubuntu1
2016-08-03 15:23:23 status unpacked perl-base:armhf 5.18.2-2ubuntu1
2016-08-03 15:23:23 configure perl-base:armhf 5.18.2-2ubuntu1 5.18.2-2ubuntu1
2016-08-03 15:23:23 status unpacked perl-base:armhf 5.18.2-2ubuntu1
2016-08-03 15:23:23 status half-configured perl-base:armhf 5.18.2-2ubuntu1
2016-08-03 15:23:23 status installed perl-base:armhf 5.18.2-2ubuntu1
2016-08-03 15:23:23 startup archives install
2016-08-03 15:23:23 install mawk:armhf <none> 1.3.3-17ubuntu2
2016-08-03 15:23:23 status half-installed mawk:armhf 1.3.3-17ubuntu2
2016-08-03 15:23:23 status unpacked mawk:armhf 1.3.3-17ubuntu2
2016-08-03 15:23:23 status unpacked mawk:armhf 1.3.3-17ubuntu2
2016-08-03 15:23:23 configure mawk:armhf 1.3.3-17ubuntu2 1.3.3-17ubuntu2
2016-08-03 15:23:23 status unpacked mawk:armhf 1.3.3-17ubuntu2
2016-08-03 15:23:23 status half-configured mawk:armhf 1.3.3-17ubuntu2
2016-08-03 15:23:23 status installed mawk:armhf 1.3.3-17ubuntu2
2016-08-03 15:23:23 startup archives unpack
2016-08-03 15:23:23 install adduser:all <none> 3.113+nmu3ubuntu3
2016-08-03 15:23:23 status half-installed adduser:all 3.113+nmu3ubuntu3
2016-08-03 15:23:23 status unpacked adduser:all 3.113+nmu3ubuntu3
2016-08-03 15:23:23 status unpacked adduser:all 3.113+nmu3ubuntu3
2016-08-03 15:23:23 upgrade base-files:armhf 7.2ubuntu5 7.2ubuntu5
2016-08-03 15:23:23 status half-configured base-files:armhf 7.2ubuntu5
2016-08-03 15:23:23 status unpacked base-files:armhf 7.2ubuntu5
2016-08-03 15:23:23 status half-installed base-files:armhf 7.2ubuntu5
2016-08-03 15:23:23 status half-installed base-files:armhf 7.2ubuntu5
2016-08-03 15:23:23 status unpacked base-files:armhf 7.2ubuntu5
2016-08-03 15:23:23 status unpacked base-files:armhf 7.2ubuntu5
2016-08-03 15:23:23 upgrade base-passwd:armhf 3.5.33 3.5.33
2016-08-03 15:23:23 status half-configured base-passwd:armhf 3.5.33
2016-08-03 15:23:23 status unpacked base-passwd:armhf 3.5.33
2016-08-03 15:23:23 status half-installed base-passwd:armhf 3.5.33
